service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud DNS,ManagedZone,1.0,global,FA26-5236-B8B5,8C22-6FC3-D478,0.2,
Cloud DNS,DNS Query (port 53),2000000.0,global,FA26-5236-B8B5,6DFF-5025-A128,0.8,
Secret Manager,Secret access operations,100000.0,global,EE82-7A5E-871C,EBA7-264F-2D2C,0.27,
Secret Manager,Secret version replica storage,50.0,global,EE82-7A5E-871C,7756-ADEF-84F4,2.64,
GKE (Kubernetes Engine),Zonal Kubernetes Clusters,1.0,global,CCD8-9BF1-090E,6B92-A835-08AB,73,
GKE (Kubernetes Engine),Regional Kubernetes Clusters,0.0,global,CCD8-9BF1-090E,B561-BFBD-1264,0,
GKE (Kubernetes Engine),SSD backed PD Capacity,300.0,europe-west1,CCD8-9BF1-090E,B188-61DD-52E4,51,
GKE (Kubernetes Engine),E2 Instance Core running in EMEA,8760.0,europe-west1,CCD8-9BF1-090E,9FE0-8F60-A9F0,210.18192,
GKE (Kubernetes Engine),E2 Instance Ram running in EMEA,35040.0,europe-west1,CCD8-9BF1-090E,F268-6CE7-AC16,112.69179,
Persistent Disk (Hyperdisk and Persistent Disk),SSD backed PD Capacity,70.0,europe-west1,6F81-5844-456A,B188-61DD-52E4,11.9,
Cloud Load Balancing  (Networking),Regional External Application Load Balancer Inbound Data Processing for Belgium (europe-west1),10.0,,E505-1604-58F8,4CA1-8FD0-21EE,0.08,
Cloud Load Balancing  (Networking),Regional External Application Load Balancer Outbound Data Processing for Belgium (europe-west1),10.0,,E505-1604-58F8,6447-DBD0-130A,0.08,
Cloud Load Balancing  (Networking),Regional External Proxy Network Load Balancer Forwarding Rule Minimum for Belgium (europe-west1),1.0,,E505-1604-58F8,A1EB-4344-EB28,18.25,
NAT Gateway (Networking),Networking Cloud Nat Gateway Uptime,3.0,global,E505-1604-58F8,32E2-4EFC-EF9F,3.066,
NAT Gateway (Networking),Networking Cloud Nat Data Processing,50.0,global,E505-1604-58F8,015F-5732-FFF0,2.25,
NAT Gateway (Networking),Networking Cloud NAT IP Usage,1.0,global,E505-1604-58F8,8515-9425-D2CE,3.65,
Cloud Logging (Cloud Operations),Log Storage cost,100.0,global,5490-F7B7-8DF6,143F-A1B0-E0BE,25,
Cloud Logging (Cloud Operations),Log Retention cost,100.0,global,5490-F7B7-8DF6,F4AE-5A52-ACE3,1,
,Metric Volume,0.0,global,58CD-E7C3-72CA,A924-09D0-8854,0,
Cloud Storage,Standard Storage Belgium,1.0,europe-west1,95FF-2EF5-5EA1,A703-5CB6-E0BF,0.02,
,,,,,,,
,,,,,Total Price:,516.07971,
,,,,,,,
"Prices are in US dollars, effective date is 2026-05-03T12:23:15.678Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJqTXpVek5EY3lPQzFsWTJZd0xUUXlNRFl0WW1ZNE9DMHdZV1l6TkdKa01XUTFOMklRQVE9PRokMTg1N0QzQjEtMjY4Qy00RTcxLUIxODQtRDdFQjdFRDkxMkEz,,,,,,
